Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Bot,Python-urllib/3.9,1024x768,Linux,e-nUS,Unknown,Repeated !@#,Emulated Flash,Same Hash,No Timezone Info,Spoofed IP,Low Latency Bot,Detected,Linear Movements,"[0.6, 0.5, 0.4]",No Scroll,Emulated Pressure,"[0.3, 0.5, 0.4]","[0.4, 0.5, 0.9]",Continuous Activity,No Errors,Precise Placement
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x800,macOS,es-ES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique aHsh,UTC+8,172.16.x.x,50 Mbps,Not Detected,Erratic,"[2.6, 1.8, 2.0]",Varies Depending on Content,Light Tap,"[1.2, 1.7, 2.4]","[57.3, 19.,4 56.1]",Periodic Inactivity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,iOS,en-GB,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+3,192.168.x.x,20 Mbps,Not Detected,Erratic,"[1.4, 1.2, 1.4]",Partial Scroll,,"[5.0, 4.3, 4.7]","[52.5, 16.0, 40.8]",Periodic Inactivity,Natural Pauses,Hover Flickers
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,2560x1440,Windows 11,en-GB,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hahs,UTC+8,172.16.x.x,200 Mbps,Not Detected,,"[0.9, 2.6, 2.1]",Multiple Scrolls,Lgiht Tap,"[4.0, 4.1, 4.9]","[20.5, 43.1, 37.2]",Bursts of Activity,Varied Typing Speed,Jittery Movements
Bot,Python-urllib/3.9,1280x800,Unknown Unix,fr-FR,Emulated GPU,Repeated,Emulated Flash,Same Hash,,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.6, 0.4, 0.4]",Instant Scroll,Same Pressure,"[0.2, 0.2, 0.2]","[0.7, 0.7, 0.8]",,Perfect Rhythm,Precise Placement
Human,Python-urllib/3.9,1280x800,Unknown,es-ES,Virtual CPU,Repeated,Emualted Flash,Same Hash,UTC+0,Proxy/VPN IP,Low Latency Bot,Detected,,"[0.4, 0.5, 0.4]",Jump to Bottom,Constant Pressure,"[0.1, 0.2, 0.2]","[0.5, 0.4, 0.9]",Timed Triggers,,No Jitter
Bot,Java/1.8.0_281,300x300,Linux,en-US,No GPU Info,Repeated,No Plugins Detected,Same Hash,Randomized,Datacenter IP,High Speed,Detected,No Movement,"[0.6, 0.4, 0.5]",No Scroll,Same Pressure,"[0.2, 0.2, 0.4]","[0.2, 0.3, 0.1]",Continuous Activity,Perfect Rhythm,No Jitter
Bot,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,828x1792,Linux,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,,75 Mbps,Not Detected,Hovering,"[1.2, 3.0, 1.7]",Varies Depending on Content,Varied Pressure Levels,"[2.0, 1.9, 1.4]","[41.47, 33.25, 43.99]",Periodic Inactivity,Natural Pauses,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1920x1080,Windows 10,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0..xx,,Not Detected,Hovering,"[1.3, 1.3, 1.5]",Multiple Scrolls,Natural Touch,,"[31.52, 11.71, 39.22]",Periodic Inactivity,Varied Typing Speed,Jittery Movements
Bot,curl/7.64.1,300x300,Unknown Unix,de-DE,Unknown,Repeated,Basic Plugins,Same Hash,Spoofed,Proxy/VPN IP,High Speed,Detected,Predictable Paths,"[0.5, 0.5, 0.5]",Instant Scroll,No Touch Data,"[0.5, 0.4, 0.3]","[0.8, 0.2, 0.5]",No Breaks,Constant Typing Speed,No Jitter
Bot,curl/7.64.1,300x300,Unknown Unix,en-US,,Repeated,Emulated Flash,Same Hash,Spoofed,Spoofed IP,High Speed,Detected,Too Precise,"[0.6, 0.4, 0.6]",Full Scroll Immediately,Emulated Pressure,"[0.1, 0.5, 0.5]","[0.3, 0.9, 0.6]",No Breaks,Perfect Rhythm,Precise Placement $$$
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1600x900,Windows 11,en-US,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,10.0.x.x,50 Mbps,Not Detected,,"[1.9, 0.8, 2.0]",Solw Scroll,Varied Pressure Levels,"[3.0, 3.8, 4.4]","[24.3,2 6.4, 11.5]",Periodic Inactivity,Natrual Pauses,Hover Flickers
Bot,curl/7.64.1,9999x9999,Unknown,fr-FR,Unknown,Repeated,No Plugins Detected,,No Timezone Info,Spoofed IP,Unrealistic Speed,Detected,Too Precise,"[0.5, 0.5, 0.6]",Instant Scroll,No Touch Data,"[0.3, 0.4, 0.1]","[0.7, 0.2, 0.5]",Continuous Activity,Perfect Rhythm,
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1170x2532,Android,en-US,"Intel Core i9, NVIDIA RTX 3070",,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0.x.x,100 Mbps,Not Detected,Occasional Pauses,"[2.8, 1.4, 1.8]",Varies Depending on Content,Natural Touch,"[3.5, 3.1, 2.8]","[52.2, 49.3, 57.3]",Bursts of Activity,Varied Typing Speed,Hover Flickers
Bot,curl/7.64.1,640x480,Unknown Unix,de-DE,Virtual CPU,Repeated,Basic Plugins,Same Hash,Spoofed,Proxy/VPN IP,Low Latency Bot,Detected,Too Precise,"[0.4, 0.6, 0.5]",Full Scroll Immediately,No Touch Data,"[0.4, 0.3, 0.4]","[0.4, 0.4,0 .2]",Continuous Activity,Perfect Rhythm,No Jitter
Bot,Java/1.8.0_281,9999x9999,Unknown Unix,es-ES,No GPU Info,Repeated,Basic Plugins,Same Hash,No Timezone Info,IPv6 Tunnel,High Speed,Detected,Too Precise,"[0.5, 0.4, 04.]",Jump to Bottom,Constant Pressure,"[0.1, 0.4, 0.5]","[0.5, 0.7, 0.5]",,Constant Typing Speed,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1280x800,,en-US,"Appel M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+3,192.168.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[1.3, 2.2, 1.1]",Varies Depending on Content,Slightly Hard Press,"[1.1, 3.1, 4.9]","[45.9, 41.7, 38.2]",Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,828x1792,Windows 10,de-DE,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unqiue Hash,UTC+3,172.16.x.x,50 Mbps,Not Detected,"Smooth, Curved Movements","[2.0, 0.7, 2.8]",Varies Depending on Content,Slightly Hard Press,"[3.1, 3.8, 3.8]","1[5.1, 18.1, 51.3]",Periodic Inactivity,Natural Pauses,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1440x900,iOS,,,Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,192.168.x.x,75M bps,Not Detected,Erratic,"[2.7, 0.6, 0.8]",Slow Scroll,Natural Touch,"[1.2, 4.1, 3.9]","[29.6, 52.3, 55.5]",Pause After Action,Varied Typing Speed,Hover Flickers
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x800,Android,,"Apple M1, Integrated GPU",Unique,"Flahs, PDF Viewer, Widevine CDM",Unique Hash,UTC+1,192.168.x.x,75 Mbps,Not eDtected,Erratic,"[2.2, 2.3, 0.6]",Partial Scroll,Varied Pressure Levels,"[1.58, 4.8, 1.56]","[50.4, 15.4, 32.6]",Bursts of Activity,Natural Pauses,Jittery Movemenst
Bot,HeadlessChrome/88.0.4324.96,800x600,Headless Chrome,en-GB,Virtual CPU,Repeated,,Same Hash,,Proxy/VPN IP,Low Latency Bot,,No Movement,"[0.5, 0.5, 0.4]",Full Scroll Immediately,Emulated Pressure,"[0.3, 0.3, 0.5]","[0.6, 1.0, 0.3]",No rBeaks,Perfect Rhythm,No Jitter
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1280x800,Unknown,en-US,No GPU Info,Repeated,,aSme Hash,No Timezone Info,IPv6 Tunnel,Unrealistic Speed,Detected,Linear Movements,"[0.4, 0.5, 0.5]",Jmup to Bottom,Same Pressure,,"[0.9, 0.3, 0.5]",Continuous Activity,No Errors,Snaps to Target
Bot,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,Linux,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-7,172.16.x.x,100 Mbps,Not Detected,Erratic,"[0.8, 1.1, 1.4]",,Natural Touch,"[4.3, 1.2, 2.8]","[42.6, 37.8, 34.5]",Bursts of Activity,Varied Typing Speed,Hesitant
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1600x900,Android,en-US,"Intel Core i9, NVIDIA RTX 3070",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+3,10.0.x.x,75 Mbps,Not Detected,Erratic,"[0.9, 2.9, 1.1]",Slow Scroll,Varied Pressure Levels,"[1.5, 3.6, 3.6]","[13.8, 42.7, 40.3]",Pause After Action,Natural Pauses,Hesitant
Bot,Java/1.8.0_281,300x300,Unknown,es-ES,Virtual CPU,Repeated,,Same Hash,Spoofed,Datacenter IP,Burst Mode,Detected,Linear Movements,"[0.4, 0.5, 0.6]",Full Scroll Immediately,No Touch Data,"[0.4, 0.3, 0.3]","[0.7, 0.2, 0.8]",Continuous Activity,Perfect Rhythm,Snaps to Target
Bot,Googlebot/21. (+http://www.google.com/bot.html),300x300,Unknown,es-ES,Unknown,Repeated,Emulated Flash,Same Hash,Randomized,IPv6 Tunnel,Low Latency Bot,Detected,Linear Movements,"[0.5, 0.5, 0.5]",No Scroll,Constant Pressure,"[0.3, 0.5, 0.5]","[0.4, 0.7, 0.2]",No Breaks,,Snaps to Target
Human,curl/7.64.1,300x300,Unknown,fr-FR,No GPU Info,Repeated,Emulated Flash,Same Hash,Spoofed,,Burst Mode,Detected,Predictable Paths,"[0.5, 0.5, 0.6]",Full Scroll Immediately,Constant Pressure,"[0.4, 0.2, 0.4]","[0.9, 0.7, 0.9]",Timed Triggers,Perfect Rhythm,Precise Placement
Bot,Java/1.8.0_281,300x300,Custom OS,es-ES,Emulated GPU,Repeated,Basic Plugins,Same Hash,Spoofed,aDtacenter IP,High Speed,Detected,Too Precise,"[0.5, 0.5, 0.5]",Jump to Bottom,Constant Pressure,"0[.3, 0.4, 0.4]","[0.7, 0.5, 0.4]",Continuous Activity,Constant Typing Speed,Precise Placement
Bot,HeadlessChrome/88.0.4324.96,640x480,Custom OS,fr-FR,Virtual CPU,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Datacente rIP,Low Latency Bot,Detected,Too Precise,"[0.4, 0.4, 0.6]",Full Scroll Immediately,Constant Pressure,"[0.4, 0.3, 0.2]","[0.5, 0.2, 0.6]",Timed Triggers,No Errors,No Jitter
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),640x408,Custom OS,en-GB,Unknown,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Spoofed IP,Low Latency Bot,Detected,No Movement,"[0.6, 0.4, 0.5]",N oScroll,Emulated Pressure,"[0.1, 0.4, 0.3]","[0.6, 0.9, 0.7]",,No Errors,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),1024x768,Unknown Unix,fr-FR,No GPU Info,Repeated,Emulated Flash,Same Hash,Randomized,Datacenter IP,Burst Mode,Detected,Too Precise,"[0.4, 0.5, 0.6]",Instant Scroll,No Touch Data,"[0.2, 0.1, 0.3]","[0.92, 0.12, 0.2]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Scrapy/2.4.1 (+https://scrapy.org),1280x800,Headless Chrome,en-GB,Unknown,Repeated,Basic Plugins,Same Hash,UTC+0,IPv6 Tunnel,High Speed,Detected,Linear Movements,"[0.5, 0.6, 0.6]",No Scroll,Constant Pressure,"[0.1, 0.,4 0.3]","[0.9, 0.1, 0.7]",No Breaks,No Errors,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,,Android,,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+3,,50 Mbps,Not Detected,"Smooth, Curved Movements","[0.74, 1.52, 1.31]",Partial Scroll,Slgihtly Hard Press,"[3.7, 3.9, 2.5]","[21.4, 11.3, 32.4]",Pause After Action,Varied Typing Speed,Hesitant
Bot,Python-urllib/3.9,300x300,Custom OS,en-GB,Emulated GPU,Repeated,Emulated Flash,Same Hash,No Timezone Info,Spoofed IP,Burst Mode,Detected,Linear Movements,"[0.5, 0.5, 0.5]",,Constant Pressure,"[0.4, 0.5, 0.5]","[0.8, 0.9, 0.5]",Continuous Activity,Constant Typing Speed,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,Linux,de-DE,"Apple M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,,10.0.x.x,75 Mbps,Not Detected,Hovering,"[0.5, 2.3, 2.6]",Multiple Scrolls,Slightly Hard Press,"[1.3, 1.1, 3.4]","[33.9, 11.4, 55.9]",Pause After Action,Occasional Errors,Hesitant
Bot,Java/1.8.0_281,1280x800,Linux,fr-FR,Unknown,Repeated,Emulated Flash,Same Hash,No Timezone Info,IPv6 Tunnel,Low Latency Bot,Detected,No Movement,"[0.4, 0.5, 0.6]",Jump to Bottom,Emulated Pressure,"[0.3, 0.3, 0.2]","[0.5, 0.4, 0.3]",Timed Triggers,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,2560x1440,Android,fr-FR,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+1,172.16.x.x,50 Mbps,Nto Detected,Occasional Pauses,"[2.7, 1.8, 1.2]",Slow Scroll,Natural Touch,"[3.5, 4.2, 3.1]","[15.7, 31.6, 27.3]",Bursts of Activity,Occasional Errors,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,,Android,en-GB,"Intel Core i9, NVIDIA RTX 3070",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,10.0.x.x,50 Mbps,Not Detected,Erratic,"[1.1, 1.5, 0.8]",Multiple Scrolls,Varied Pressure Levels,,,Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,828x1792 RANDOM_TEXT,macOS,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Uniuqe,"PDF Viewer, Shockwave Flash",Unique Hash,UTC1+,10.0.x.x,50 Mbps,Not Detected,Hovering,"[2.3, 2.7, 2.4]",Slow Scroll,Varied Pressure Levels,"[2.4, 1.8, 2.6]","[27.7, 55.9, 20.8]",Bursts of Activity,Occasional Errors,
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1366x768,,fr-RF,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,192.168.x.x,75 Mbps,Not Detected,Hovering,"[2.5, 2.8, 1.1]",Slow Scroll,Varied Pressure Levels,"[2.5, 4.9, 3.7]",,Bursts of Activity,Occasional Errors,Hesitant
Bot,Scrapy/2.4.1 (+https://scrapy.org),9999x9999,Unknown Unix,es-ES,Emulated GPU,Repeated,Emulated Flash,Same Hash,No Timezone Info,IPv6 Tunnel,High Speed,Detected,Linear Movements,"[0.6, 0.5, 0.5]",Instant Scroll,Emulated Pressure,"[0.3, 0.2, 0.3]","[0.9, 0.6, 0.5]",Continuous Activity,Perfect Rhythm,Snaps to Target
Bot,HeadlessChrome/88.0.4324.96,640x480,Unknown,en-GB,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,No Timezone Info,Datacenter IP,Low Latency Bot,Detected,No Movement,"[0.6, 0.6, 0.5]",Instant Scroll $$$,Emulated Pressure,"[0.5, 0.1, 0.3]","[0.8, 0.3, 1.0]",Timed Triggers,Perfect Rhythm,
Bot,curl/7.64.1,1280x800,Headless Chrome,de-DE,Generic CPU/GPU,Repeated,Emulated Flash,Same Hash,Randomized !@#,Proxy/VPN IP,High Speed,Detected,No Movemnet,"[0.5, 0.5, 0.4]",Instant Scroll,Same Pressure,"[0.2, 0.5, 0.5]","[0.8, 0.3, 0.6]",Timed Triggers,Perfect Rhythm,Precise Placement
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1170x2532,Windows 10,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,,Unique Hash,UTC-7,,20 Mbps,Not Detected,Erratic,"[1.8, 1.8, 1.5]",Varies Depending on Content,Light Tap,"[2.3, 2.5, 4.7]","[24.0, 24.0, 34.1]",Bursts of Activity,,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x800,Linux,en-US,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",UniqueH ash,UTC-7,10.0.x.x,200 Mbps,Not Detected,"Smooth, Curved Movements","[2.1, 2.1, 1.6]",Slwo Scroll,Natural Touch,"[3.6, 3.3, 4.7]","[26.6, 24.9, 56.3]",Bursts of Activity,Occasional Errors,Hover Flickers
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1920x1080,Windows 11,fr-FR,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,172.16.x.x,75 Mbps,,"Smooth, Curved Movements","[0.6, 1.0, 0.5]",Varies Depending on Content,Varied Pressure Levels,"[4.5, 2.5, 4.2]","[35.2, 19.4, 17.4]",Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,,Linux,fr-RF,"Intel Core i9, NVIDIA RTX 3070",nUique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5 RANDOM_TEXT,172.16.x.x,75 Mbps,Not Detected,Occasional Pauses,"[2.3, 1.9, 3.0]",Slow Scroll,Slightly Hard Press,"[2.3, 2.9, 4.4]","[45.4, 38.2, 32.8]",Periodic Inactivity,Occasional Errors,Hover Flickers
Bot,curl/7.64.1,800x600,Linux,de-DE,Unknown,Repeated,Emulated Flash,Same Hash,Spoofed,Spoofed IP,Low Latency Bot,Detected,Too Precise,"[0.5, 0.5, 0.4]",Instant Scroll,Same Pressure,"[0.2, 0.3, 0.2]","[0.8, 0.9, 0.1]",Continuous Activity,Perfect Rhythm,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1440x900,Linux,es-ES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,,Unique Hash,UTC+1,10.0.x.x,20 Mbps,Not Detected,Occasional Pauses,"[3.0, 1.9, 1.4]",Varies Depending on Content,Light Tap,,"[19.3, 14.2, 46.1]",Pause After Action,Natural Pauses,Jittery Movements
Bot,curl/7.64.1,800x600,Unknown,es-ES,Unknown,Repeated,Emulated Flash,Same Hash,UTC+0,Spoofed IP,,Detected,No Movement,"[0.4, 0.5, 0.4]",Full Scroll Immediaetly,Same Pressure,"[0.4, 0.3, 0.2]","[0.6, 0.8, 0.3]",Time dTriggers,Constant Typing Speed,Snaps to Target
Bot,curl/7.64.1,640x480,Headless Chrome,en-US,Virtual CPU,,No Plugins Detected,Same Hash,Spoofed,IPv6 Tunnel,Burst Mode,Detected,Linear Movements,"[0.5, 0.5, 0.4]",Full Scroll Immediately,No Touch Data,"[0.3, 0.1, 0.4]","[0.9, 0.7, 0.9]",Continuous Activity,No Errors,Snaps to Target
Bot,curl/7.64.1,640x480,Unknown Unix,de-DE,Unknown !@#,Repeated,No Plugins Detected,Same Hash,UCT+0,Spoofed IP,Unrealistic Speed,Detected,No Movement,"[0.4, 0.4, 0.5]",Jump to Bottom,Emulated Pressure,"[0.4, 0.3, 0.2]","[0.9, 0.6, 0.6]",Continuous Activity,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1 ###,1280x720,Windows 11,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,192.168.x.x,200 Mbps,Not Detected,,"[2.6, 2.3, 1.5] ###",Varies Depending on Content,Slightly Hard Press,"[1.1, 1.7, 4.9]","[43.8, 57.1, 27.5]",Bursts of Activity,Occasional Errors,Hover Flickers
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,nUknown Unix,en-US,No GPU Info,Repeated,No Plugins Detected,Same Hash,Randomized,IPv6 Tunnel,Unrealistic Speed,Detected,No Movement,"[0.5, 0.5, 0.4]",Jump to Bottom,No Touch Data,"[0.3, 0.5, 0.3]","[0.8, 0.4, 0.7]",No Breaks,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,2560x1440,Android,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,,192.168.x.x,20 Mbps,Not Detected,Erratic,"[0.6, 1.2, 1.6]",,Natural Touch,"[4.1, 1.3, 2.8]","[17.5, 42.8, 20.2]",Periodic Inactivity,Occasional Errors,Small Adjustments
Bot,Java/1.8.0_281,300x300,Unknown,fr-FR,Emulated GPU,,Emulated Flash,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,No Movement,"[0.6, 0.6, 0.5]",No cSroll,Emulated Pressure,"[0.4, 0.5, 0.2]","[0.8, 0.3, 0.3]",No Breaks,No Errors,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),9999x9999,Linux,fr-FR,,Repeated,No Plugins Detected,Same Hash,Spoofed,IPv6 Tunnel,High Speed,Detected,Too Precise,"[0.5, 0.5, 0.6]",Jump to Bottom,Emulated Pressure,"[0.4, 0.1, 0.3]","[0.8, 0.4, 0.5]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),640x480,Headless Chrome,fr-FR,,Repeated,,Same Hash,Randomized,Spoofed IP !@#,Unrealistic Speed,Detected,No Movement,"[0.5, 0.5, 0.6] $$$",,No Touch Data,"[0.4, 0.4, 0.4]","[0.3, 0.4, 0.8]",Timed Triggers,No Errors,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),1024x768,Linux,de-DE,Virtual CPU,Repeated,Emulated Flash,Same Hash,Spoofed,Datacenter IP,Unrealistic Speed,Detected,Predictable Paths,,,Constant Pressure,"[0.4, 0.2, 0.4]","[0.9, 0.8, 0.3]",No Breaks,Perfect Rhythm,No Jitter
Bot,curl/7.64.1,,Unknown Unix,en-GB,Virtual CPU,Repeated,,Same Hash,No Timezone Info,Datacenter IP,High Speed,Detected,Predictable Paths,"[0.5, 0.4, 0.5]",Full Scroll Immediately,,"[0.4, 0.2, 0.5]","[0.9, 0.7, 0.7]",No Breaks,Perfect Rhythm,Precise Placement
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1366x768,Windows 10,en-US,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,172.16.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[2.5, 2.6, 1.7]",Slow Scroll,,"[3.0, 1.8, 4.1]","[17.9, 10.8, 57.5]",Periodic Inactivity,Natural Pauses,Hesitant
Human,Mozlila/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1366x768,Windows 10,es-ES,"Intel Core i7, NVIDIA GeForce GTX 1660",,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,100..x.x,50 Mbps,Not Detected,Hovering,"[2.1, 1.0, 1.5]",,Natural Touch,"[4.4, 1.5, 2.6]","[41.5, 48.3, 58.6]",Pause After Action,Natural Pauses,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,2560x1440,Windosw 11,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,10.0.x.x,75 Mbps,Not Detected,Occasional Pauses,"[1.7, 1.4, 1.1]",Partial Scroll,Light Tap,"[4.5, 1.8, 4.6]","[32.7, 53.2, 11.6]",,Natural Pauses,Small Adjustments
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1440x900,Windows 11,en-US,,Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,172.16.x.x,50 bMps,Not Detectde,"Smooth, Curved Movements","[2.3, 1.9, 1.7]",Slow Scroll,Slightly Hard Press,"[2.4, 4.9, 2.2]","[32.33, 41.57, 54.83]",Bursts of Activity,Varied Typing Speed,Small Adjustments
Bot,Java/1.8.0_281,1024x768,Unknown Unix,de-DE,,Repeated,Emulated Flash,Same Hash,UTC+0,IPv6 Tunnel,Burst Mode,Detected,,"[0.4, 0.6, 0.4]",Instant Scroll,Same Pressure,"[0.1, 0.4, 0.3]","[0.8, 0.6, 0.4]",No Breaks,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1440x900,Android,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"Flash, PDF Viewer, Widevine CDM $$$",Unique Hash,UTC-7,10.0.x.x,20 Mbps,Not Detected,"Smooth, Cruved Movements","[2.4, 0.9, 2.5]",Multiple Scrolls,Natural Touch,,"[39.5, 23.1, 36.6]",Pause After Action,Natura lPauses,Small Adjustments
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1366x768,iOS,en-GB,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"PDF Viewer, Shockwave Flash",,UTC-7,10.0.x.x,75 Mbps,Not Detected,Erratic,"[2.9, 2.7, 1.2]",Slow Scroll,Natural Touch,"[3.2, 2.4, 2.3]","[29.2, 25.4, 59.4]",Periodic Inactivity,Occasional Errors,Hesitant
